command_hex,cycle_index,elapsed_s,event,monotonic_s,note
,1,0.8919305000163149,CYCLE_START,212521.0959067,
06000000,1,0.8919471999979578,PRE_STOP_1,212521.0959238,
06000000,1,0.9422239999985322,PRE_STOP_2,212521.1462,
0600E5E3,1,1.2082510000036564,TX_FAST,212521.4122277,
,1,3.319156799989287,FAST_PROGRESS_CONFIRMED,212523.5231337,5404
060072F1,1,3.319160200015176,TX_MEDIUM,212523.5231371,
06000000,1,11.410970299999462,STOP_1,212531.6149471,
06000000,1,11.461089999997057,STOP_2,212531.6650667,
,1,11.461196199990809,CYCLE_END,212531.665173,normal-medium-complete
,2,11.461202200007392,CYCLE_START,212531.665179,
06000000,2,11.461204699997324,PRE_STOP_1,212531.6651815,
06000000,2,11.511304400017252,PRE_STOP_2,212531.715281,
0600E5E3,2,11.778767200012226,TX_FAST,212531.9827439,
,2,13.889632800011896,FAST_PROGRESS_CONFIRMED,212534.0936096,5480
060072F1,2,13.88963610000792,TX_MEDIUM,212534.0936129,
06000000,2,21.98145230000955,STOP_1,212542.1854291,
06000000,2,22.03203180001583,STOP_2,212542.2360086,
,2,22.03212370001711,CYCLE_END,212542.2361005,normal-medium-complete
,3,22.032128699996974,CYCLE_START,212542.2361056,
06000000,3,22.032130700012203,PRE_STOP_1,212542.2361075,
06000000,3,22.082230900006834,PRE_STOP_2,212542.2862076,
0600E5E3,3,22.349245799996424,TX_FAST,212542.5532226,
,3,24.46017100001336,FAST_PROGRESS_CONFIRMED,212544.6641479,5272
060072F1,3,24.460174100007862,TX_MEDIUM,212544.6641509,
06000000,3,32.55193919999874,STOP_1,212552.755916,
06000000,3,32.60232800000813,STOP_2,212552.8063044,
,3,32.60245110001415,CYCLE_END,212552.8064278,normal-medium-complete
,4,32.602455499989446,CYCLE_START,212552.8064322,
06000000,4,32.60245780000696,PRE_STOP_1,212552.8064346,
06000000,4,32.65303139999742,PRE_STOP_2,212552.8570082,
0600E5E3,4,32.91978749999544,TX_FAST,212553.1237643,
,4,35.03064080001786,FAST_PROGRESS_CONFIRMED,212555.2346176,5063
060072F1,4,35.03064340000856,TX_MEDIUM,212555.2346202,
06000000,4,43.11828389999573,STOP_1,212563.3222607,
06000000,4,43.16842960001668,STOP_2,212563.3724063,
,4,43.16852919998928,CYCLE_END,212563.3725059,normal-medium-complete
,5,43.168533299991395,CYCLE_START,212563.3725102,
06000000,5,43.16853590001119,PRE_STOP_1,212563.3725127,
06000000,5,43.21871819999069,PRE_STOP_2,212563.4226946,
0600E5E3,5,43.48605760000646,TX_FAST,212563.6900344,
,5,45.59696220001206,FAST_PROGRESS_CONFIRMED,212565.8009391,5211
060072F1,5,45.59696550000808,TX_MEDIUM,212565.8009423,
06000000,5,53.6887568999955,STOP_1,212573.8927338,
06000000,5,53.73930180000025,STOP_2,212573.9432785,
,5,53.739402200008044,CYCLE_END,212573.943379,normal-medium-complete
,6,53.739406000007875,CYCLE_START,212573.9433828,
06000000,6,53.739408399997046,PRE_STOP_1,212573.9433852,
06000000,6,53.78979350000736,PRE_STOP_2,212573.9937701,
0600E5E3,6,54.0565329999954,TX_FAST,212574.2605098,
,6,56.16752469999483,FAST_PROGRESS_CONFIRMED,212576.3715015,5076
060072F1,6,56.16752779998933,TX_MEDIUM,212576.3715046,
06000000,6,64.25934479999705,STOP_1,212584.4633216,
06000000,6,64.30976100001135,STOP_2,212584.5137375,
,6,64.30986310000299,CYCLE_END,212584.5138398,normal-medium-complete
,7,64.30986690000282,CYCLE_START,212584.5138438,
06000000,7,64.30986919999123,PRE_STOP_1,212584.513846,
06000000,7,64.36016450001625,PRE_STOP_2,212584.5641412,
0600E5E3,7,64.62710670000524,TX_FAST,212584.8310835,
,7,66.73794729998917,FAST_PROGRESS_CONFIRMED,212586.9419242,5158
060072F1,7,66.73795030001202,TX_MEDIUM,212586.9419271,
06000000,7,74.82966109999688,STOP_1,212595.0336379,
06000000,7,74.87978449999355,STOP_2,212595.0837611,
,7,74.87988510000287,CYCLE_END,212595.0838618,normal-medium-complete
,8,74.87989300000481,CYCLE_START,212595.0838698,
06000000,8,74.87989599999855,PRE_STOP_1,212595.0838728,
06000000,8,74.93001559999539,PRE_STOP_2,212595.1339924,
0600E5E3,8,75.19744530000025,TX_FAST,212595.4014221,
,8,77.30838740000036,FAST_PROGRESS_CONFIRMED,212597.5123643,5110
060072F1,8,77.30839079999714,TX_MEDIUM,212597.5123676,
06000000,8,85.40006509999512,STOP_1,212605.604042,
06000000,8,85.45019060000777,STOP_2,212605.6541673,
,8,85.45028759998968,CYCLE_END,212605.6542643,normal-medium-complete
,9,85.4502916999918,CYCLE_START,212605.6542685,
06000000,9,85.45029450001311,PRE_STOP_1,212605.6542713,
06000000,9,85.50048809999134,PRE_STOP_2,212605.7044647,
0600E5E3,9,85.76788390000002,TX_FAST,212605.9718606,
,0,86.29562889999943,SERIES_ABORT,212606.4996056,Abort: cycle 9 three consecutive invalid replies
06000000,9,86.29571510001551,STOP_1,212606.4996918,
06000000,9,86.34588750000694,STOP_2,212606.5498639,
