delta_counts,elapsed_s,monotonic_s,no_progress_detected,note,payload_hex,raw_position,recovery_attempted,recovery_count,recovery_failure_reason,recovery_payload,recovery_progress_counts,recovery_start_position,recovery_start_unwrapped,recovery_success,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,261274.3013274,False,,,232585,False,0,,,,,,,14713,valid-start,038C89,START,247298,1790075257.3181171,232585
115,0.15023529998143204,261274.4772349,False,,00E5E3,232700,False,0,,,,,,,14598,valid,038CFC,FAST,247298,1790075257.4940245,232700
326,0.3261676999973133,261274.6531984,False,,00E5E3,233026,False,0,,,,,,,14272,valid,038E42,FAST,247298,1790075257.6699867,233026
404,0.5023386999964714,261274.8290811,False,,00E5E3,233430,False,0,,,,,,,13868,valid,038FD6,FAST,247298,1790075257.8458705,233430
391,0.6778930999862496,261275.0050159,False,,00E5E3,233821,False,0,,,,,,,13477,valid,03915D,FAST,247298,1790075258.0218036,233821
379,0.8542136999894865,261275.1808976,False,,00E5E3,234200,False,0,,,,,,,13098,valid,0392D8,FAST,247298,1790075258.197686,234200
397,1.0296424999833107,261275.3567587,False,,00E5E3,234597,False,0,,,,,,,12701,valid,039465,FAST,247298,1790075258.3735483,234597
409,1.205587899981765,261275.5326634,False,,00E5E3,235006,False,0,,,,,,,12292,valid,0395FE,FAST,247298,1790075258.549453,235006
402,1.3814149999816436,261275.7085863,False,,00E5E3,235408,False,0,,,,,,,11890,valid,039790,FAST,247298,1790075258.7253757,235408
404,1.557368099980522,261275.8845271,False,,00E5E3,235812,False,0,,,,,,,11486,valid,039924,FAST,247298,1790075258.901316,235812
479,1.7332712999777868,261276.060395,False,,00E5E3,236291,False,0,,,,,,,11007,valid,039B03,FAST,247298,1790075259.0771844,236291
477,1.9092976999818347,261276.236302,False,,00E5E3,236768,False,0,,,,,,,10530,valid,039CE0,FAST,247298,1790075259.2530913,236768
499,2.0851300999929663,261276.4122344,False,,00E5E3,237267,False,0,,,,,,,10031,valid,039ED3,FAST,247298,1790075259.4290237,237267
493,2.2610163999779616,261276.5881295,False,,00E5E3,237760,False,0,,,,,,,9538,valid,03A0C0,FAST,247298,1790075259.604919,237760
492,2.436894599988591,261276.7640511,False,,00E5E3,238252,False,0,,,,,,,9046,valid,03A2AC,FAST,247298,1790075259.7808406,238252
538,2.6132457999920007,261276.9399961,False,,00E5E3,238790,False,0,,,,,,,8508,valid,03A4C6,FAST,247298,1790075259.9567857,238790
516,2.7892265999980737,261277.1158621,False,,00E5E3,239306,False,0,,,,,,,7992,valid,03A6CA,FAST,247298,1790075260.132651,239306
490,2.964612199983094,261277.2917982,False,,00E5E3,239796,False,0,,,,,,,7502,valid,03A8B4,FAST,247298,1790075260.308587,239796
555,3.140540999971563,261277.4677294,False,,00E5E3,240351,False,0,,,,,,,6947,valid,03AADF,FAST,247298,1790075260.484519,240351
573,3.3164722999790683,261277.6435986,False,,00E5E3,240924,False,0,,,,,,,6374,valid,03AD1C,FAST,247298,1790075260.660388,240924
570,3.492346799990628,261277.819539,False,,00E5E3,241494,False,0,,,,,,,5804,valid,03AF56,FAST,247298,1790075260.8363278,241494
596,3.668284399987897,261277.9954079,False,,00E5E3,242090,False,0,,,,,,,5208,valid,03B1AA,FAST,247298,1790075261.0121977,242090
616,3.8442782999773044,261278.1713545,False,,00E5E3,242706,False,0,,,,,,,4592,valid,03B412,FAST,247298,1790075261.1881433,242706
484,4.020679199980805,261278.3472435,False,,0072F1,243190,False,0,,,,,,,4108,valid,03B5F6,MEDIUM,247298,1790075261.364033,243190
254,4.196048799989512,261278.5231696,False,,0072F1,243444,False,0,,,,,,,3854,valid,03B6F4,MEDIUM,247298,1790075261.5399592,243444
129,4.372229000000516,261278.6990886,False,,0072F1,243573,False,0,,,,,,,3725,valid,03B775,MEDIUM,247298,1790075261.7158785,243573
72,4.547820199979469,261278.8749773,False,,0072F1,243645,False,0,,,,,,,3653,valid,03B7BD,MEDIUM,247298,1790075261.8917668,243645
63,4.72373769999831,261279.0508905,False,,0072F1,243708,False,0,,,,,,,3590,valid,03B7FC,MEDIUM,247298,1790075262.06768,243708
72,4.899987399985548,261279.226802,False,,0072F1,243780,False,0,,,,,,,3518,valid,03B844,MEDIUM,247298,1790075262.2435913,243780
85,5.075535899988608,261279.4026938,False,,0072F1,243865,False,0,,,,,,,3433,valid,03B899,MEDIUM,247298,1790075262.4194834,243865
56,5.251554499991471,261279.5786169,False,,0072F1,243921,False,0,,,,,,,3377,valid,03B8D1,MEDIUM,247298,1790075262.5954065,243921
61,5.427351999998791,261279.7545492,False,,0072F1,243982,False,0,,,,,,,3316,valid,03B90E,MEDIUM,247298,1790075262.7713385,243982
84,5.603311999992002,261279.9304534,False,,0072F1,244066,False,0,,,,,,,3232,valid,03B962,MEDIUM,247298,1790075262.947243,244066
110,5.779235599999083,261280.1063492,False,,0072F1,244176,False,0,,,,,,,3122,valid,03B9D0,MEDIUM,247298,1790075263.123139,244176
138,5.9551174999796785,261280.2822639,False,,0072F1,244314,False,0,,,,,,,2984,valid,03BA5A,MEDIUM,247298,1790075263.2990534,244314
110,6.131021499983035,261280.4581932,False,,0072F1,244424,False,0,,,,,,,2874,valid,03BAC8,MEDIUM,247298,1790075263.4749825,244424
128,6.306948099983856,261280.6341062,False,,0072F1,244552,False,0,,,,,,,2746,valid,03BB48,MEDIUM,247298,1790075263.6508954,244552
158,6.482844899990596,261280.8100204,False,,0072F1,244710,False,0,,,,,,,2588,valid,03BBE6,MEDIUM,247298,1790075263.8268101,244710
188,6.658751699986169,261280.9859141,False,,0072F1,244898,False,0,,,,,,,2400,valid,03BCA2,MEDIUM,247298,1790075264.002704,244898
92,6.835085499973502,261281.1618224,False,,003978,244990,False,0,,,,,,,2308,valid,03BCFE,FINE,247298,1790075264.178612,244990
3,7.010573299980024,261281.3377738,False,,003978,244993,False,0,,,,,,,2305,valid,03BD01,FINE,247298,1790075264.3545632,244993
7,7.186546599987196,261281.5136557,False,,003978,245000,False,0,,,,,,,2298,valid,03BD08,FINE,247298,1790075264.530445,245000
8,7.362720699980855,261281.6895856,False,,003978,245008,False,0,,,,,,,2290,valid,03BD10,FINE,247298,1790075264.7063754,245008
3,7.538593199977186,261281.8655708,False,,003978,245011,False,0,,,,,,,2287,valid,03BD13,FINE,247298,1790075264.8823588,245011
0,7.714326399989659,261282.0413601,False,,003978,245011,False,0,,,,,,,2287,valid,03BD13,FINE,247298,1790075265.0581493,245011
0,7.890509099990595,261282.2172721,False,,003978,245011,False,0,,,,,,,2287,valid,03BD13,FINE,247298,1790075265.2340612,245011
2,8.066009799978929,261282.3931672,False,,003978,245013,False,0,,,,,,,2285,valid,03BD15,FINE,247298,1790075265.409957,245013
5,8.242103399999905,261282.5690711,False,,003978,245018,False,0,,,,,,,2280,valid,03BD1A,FINE,247298,1790075265.5858605,245018
12,8.41780349999317,261282.7450357,False,,003978,245030,False,0,,,,,,,2268,valid,03BD26,FINE,247298,1790075265.7618253,245030
2,8.594089099991834,261282.9209012,False,,003978,245032,False,0,,,,,,,2266,valid,03BD28,FINE,247298,1790075265.9376907,245032
10,8.769640199985588,261283.0968053,False,,003978,245042,False,0,,,,,,,2256,valid,03BD32,FINE,247298,1790075266.1135948,245042
33,8.945582299988018,261283.2727215,False,,003978,245075,False,0,,,,,,,2223,valid,03BD53,FINE,247298,1790075266.289511,245075
13,9.121458899986465,261283.448631,False,,003978,245088,False,0,,,,,,,2210,valid,03BD60,FINE,247298,1790075266.4654202,245088
29,9.29736069997307,261283.6246057,False,,003978,245117,False,0,,,,,,,2181,valid,03BD7D,FINE,247298,1790075266.641395,245117
6,9.473352699977113,261283.8004511,False,,003978,245123,False,0,,,,,,,2175,valid,03BD83,FINE,247298,1790075266.8172407,245123
20,9.649185999995098,261283.9763845,False,,003978,245143,False,0,,,,,,,2155,valid,03BD97,FINE,247298,1790075266.9931738,245143
25,9.8251542999933,261284.1523206,False,,003978,245168,False,0,,,,,,,2130,valid,03BDB0,FINE,247298,1790075267.16911,245168
34,10.001061799994204,261284.3282174,False,,003978,245202,False,0,,,,,,,2096,valid,03BDD2,FINE,247298,1790075267.3450067,245202
16,10.176948599983007,261284.5041226,False,,003978,245218,False,0,,,,,,,2080,valid,03BDE2,FINE,247298,1790075267.5209124,245218
46,10.352862399973674,261284.6800229,False,,003978,245264,False,0,,,,,,,2034,valid,03BE10,FINE,247298,1790075267.6968126,245264
48,10.52913029998308,261284.8559708,False,,003978,245312,False,0,,,,,,,1986,valid,03BE40,FINE,247298,1790075267.87276,245312
61,10.704718999972101,261285.0318337,False,,003978,245373,False,0,,,,,,,1925,valid,03BE7D,FINE,247298,1790075268.048623,245373
95,10.881020099972375,261285.2077817,False,,003978,245468,False,0,,,,,,,1830,valid,03BEDC,FINE,247298,1790075268.224571,245468
128,11.056894199980889,261285.3836933,False,,003978,245596,False,0,,,,,,,1702,valid,03BF5C,FINE,247298,1790075268.400483,245596
128,11.232833099988056,261285.5595628,False,,003978,245724,False,0,,,,,,,1574,valid,03BFDC,FINE,247298,1790075268.5763526,245724
146,11.408305999997538,261285.7354944,False,,003978,245870,False,0,,,,,,,1428,valid,03C06E,FINE,247298,1790075268.7522836,245870
168,11.584360699984245,261285.9113875,False,,003978,246038,False,0,,,,,,,1260,valid,03C116,FINE,247298,1790075268.9281766,246038
160,11.760147099994356,261286.0873326,False,,003978,246198,False,0,,,,,,,1100,valid,03C1B6,FINE,247298,1790075269.1041222,246198
136,11.936067699978594,261286.2632472,False,,003978,246334,False,0,,,,,,,964,valid,03C23E,FINE,247298,1790075269.2800367,246334
63,12.112095899996348,261286.4391449,False,,002000,246397,False,0,,,,,,,901,valid,03C27D,SLOW,247298,1790075269.4559343,246397
1,12.287891899992246,261286.615083,False,,002000,246398,False,0,,,,,,,900,valid,03C27E,SLOW,247298,1790075269.6318724,246398
0,12.46384329997818,261286.7909884,False,,002000,246398,False,0,,,,,,,900,valid,03C27E,SLOW,247298,1790075269.807778,246398
0,12.639744899992365,261286.9669012,False,,002000,246398,False,0,,,,,,,900,valid,03C27E,SLOW,247298,1790075269.9836905,246398
0,12.81574599997839,261287.1428298,False,,002000,246398,False,0,,,,,,,900,valid,03C27E,SLOW,247298,1790075270.159619,246398
3,12.991947899980005,261287.3187166,False,,002000,246401,False,0,,,,,,,897,valid,03C281,SLOW,247298,1790075270.335506,246401
1,13.167457399977138,261287.4946607,False,,002000,246402,False,0,,,,,,,896,valid,03C282,SLOW,247298,1790075270.5114498,246402
0,13.34349659999134,261287.6705625,False,,002000,246402,False,0,,,,,,,896,valid,03C282,SLOW,247298,1790075270.6873517,246402
3,13.5196098999877,261287.846487,False,,002000,246405,False,0,,,,,,,893,valid,03C285,SLOW,247298,1790075270.8632765,246405
