commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
114,7.71159900150828,0.002620695044918081,+,4338,0,0072F1,0.5,0,4285,53,6.872763999999734,20,sustain,8.0,00001E,1,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,nonpositive-median-commanded-rate,False,4224,001080,12.3,-4.5884009984917205,1,False,3,1.0
113,6.417019896874539,0.0021807477597824603,+,4452,0,0072F1,0.5,0,4408,44,6.856765399999858,20,sustain,8.0,00001E,1,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,nonpositive-median-commanded-rate,False,4339,0010F3,12.3,-5.882980103125462,2,False,3,1.0
137,6.719052481010756,0.002283389935094581,+,4589,0,0072F1,0.5,0,4544,45,6.6973729000001185,20,sustain,8.0,00001E,1,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,nonpositive-median-commanded-rate,False,4452,001164,12.3,-5.580947518989245,3,False,3,1.0
195,6.724405137925771,0.002285208971775765,+,4793,0,0072F1,0.5,0,4747,46,6.84075379999922,20,sustain,8.0,00001F,2,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,nonpositive-median-commanded-rate,False,4598,0011F6,12.3,-5.5755948620742295,1,False,3,1.0
134,6.13647557601966,0.0020854081147360193,+,4927,0,0072F1,0.5,0,4886,41,6.6813595999992685,20,sustain,8.0,00001F,2,3,4224,reliable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,4793,0012B9,12.3,-6.16352442398034,2,True,3,1.0
191,7.601481569689993,0.002583272947650206,+,5121,0,0072F1,0.5,0,5069,52,6.840771699999095,20,sustain,8.0,00001F,2,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,nonpositive-median-commanded-rate,False,4930,001342,12.3,-4.698518430310008,3,False,3,1.0
134,7.763775311325018,0.0026384265421824085,+,5257,0,0072F1,0.5,1,5205,52,6.697772400000758,20,sustain,8.0,000020,3,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,material-reverse-increment-observed,False,5123,001403,12.3,-4.536224688674983,1,False,3,1.0
167,6.723980020833405,0.002285064500796756,+,5425,0,0072F1,0.5,0,5379,46,6.841186300000118,20,sustain,8.0,000020,3,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,nonpositive-median-commanded-rate,False,5258,00148A,12.3,-5.576019979166595,2,False,3,1.0
148,7.034670748970194,0.0023906490431946192,+,5573,0,0072F1,0.5,0,5526,47,6.681194000000687,20,sustain,8.0,000020,3,3,4224,motion-not-stable,az-postswap-sustain-target12p3-plus-r1,completed,0.18,1.0,nonpositive-median-commanded-rate,False,5425,001531,12.3,-5.265329251029807,3,False,3,1.0
