commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_progress_counts,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
321,2.442742555548854,0.0008301369547463934,+,1057710,1.783424716243912,0.5626912554876146,0,0072F1,0.5,0,1057674,36,14.737533399998938,20,sustain,35.0,00001C,1,1,1057389,36,reliable,az-postservice-sustain-plus-threshold-screen-r2,completed,0.18,3.169455183195338,1.0,commanded-progress-with-comparable-half-rates,True,1057389,10226D,12.3,-9.857257444451147,1,True,1,20.0
240,2.4757555283223893,0.0008413560202279749,+,1057950,2.3374878100012597,0.8742409874582527,0,0072F1,0.5,0,1057913,37,14.944932799997332,20,sustain,35.0,00001D,2,1,1057389,37,reliable,az-postservice-sustain-plus-threshold-screen-r2,completed,0.18,2.6737339515471765,1.0,commanded-progress-with-comparable-half-rates,True,1057710,1023AE,12.3,-9.824244471677611,1,True,1,20.0
478,12.7131983286243,0.004320428987343625,+,1058428,11.687430050733722,0.9087907841297858,0,0072F1,0.5,0,1058238,190,14.945098399999551,20,sustain,35.0,00001E,3,1,1057389,190,reliable,az-postservice-sustain-plus-threshold-screen-r2,completed,0.18,12.860418761756087,1.0,commanded-progress-with-comparable-half-rates,True,1057950,10249E,12.3,0.41319832862429884,1,True,1,20.0
498,13.648141453299933,0.0046381582693820755,+,1058928,12.509653397099674,0.8567102769213555,0,0072F1,0.5,0,1058724,204,14.947090099998604,20,sustain,35.0,00001F,4,1,1057389,204,reliable,az-postservice-sustain-plus-threshold-screen-r2,completed,0.18,14.601964904697926,1.0,commanded-progress-with-comparable-half-rates,True,1058430,10267E,12.3,1.3481414532999327,1,True,1,20.0
