cumulative_progress,cycle_elapsed_s,cycle_index,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
159,0.15043410001089796,1,159,+,1.4557604000146966,1056.9376990696123,,259797.8841021,00E5E3,FAST,160,0000A0,160,True
553,0.32628869998734444,1,394,+,1.6316149999911431,2240.487311976891,,259798.0599567,00E5E3,FAST,554,00022A,554,True
1062,0.5021575000137091,1,509,+,1.8074838000175077,2894.2029508570904,,259798.2358255,00E5E3,FAST,1063,000427,1063,True
1573,0.6778125000128057,1,511,+,1.9831388000166044,2909.111610843005,,259798.4114805,00E5E3,FAST,1574,000626,1574,True
2004,0.854188700002851,1,431,+,2.1595150000066496,2443.64035524252,,259798.5878567,00E5E3,FAST,2005,0007D5,2005,True
2401,1.0301181999966502,1,397,+,2.335444500000449,2256.585734706189,,259798.7637862,00E5E3,FAST,2402,000962,2402,True
2808,1.2055893999931868,1,407,+,2.5109156999969855,2319.4689499361334,,259798.9392574,00E5E3,FAST,2809,000AF9,2809,True
3221,1.3814487000054214,1,413,+,2.68677500000922,2348.4683492500394,,259799.1151167,00E5E3,FAST,3222,000C96,3222,True
3692,1.5578274999861605,1,471,+,2.8631537999899592,2670.3889586017935,,259799.2914955,00E5E3,FAST,3693,000E6D,3693,True
4126,1.7336142999993172,1,434,+,3.038940600003116,2468.8998261958104,,259799.4672823,00E5E3,FAST,4127,00101F,4127,True
4608,1.9095656000135932,1,482,+,3.214891900017392,2739.3943662871047,,259799.6432336,00E5E3,FAST,4609,001201,4609,True
5093,2.085084899998037,1,485,+,3.390411200001836,2763.228887324556,,259799.8187529,00E5E3,FAST,5094,0013E6,5094,True
5455,2.2614719000121113,1,362,+,3.56679820001591,2052.3054418472766,,259799.9951399,0072F1,MEDIUM,5456,001550,5456,True
5623,2.4373876999889035,1,168,+,3.742713999992702,955.0023364709907,,259800.1710557,0072F1,MEDIUM,5624,0015F8,5624,True
5681,2.6131872000114527,1,58,+,3.9185135000152513,329.9213023504648,,259800.3468552,0072F1,MEDIUM,5682,001632,5682,True
