timestamp,elapsed_s,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,note
194026.1519163,0.0,42163,42163,0,,,003978,waiting-for-breakaway,True,start
194026.302066,0.1501496999990195,42166,42166,3,19.980006673047406,,003978,moving-transient,True,
194026.4780219,0.32610559999011457,42176,42176,10,56.83242221776075,40.346386394674354,003978,moving-transient,True,
194026.65375,0.5018336999928579,42179,42179,3,17.071828580364592,34.574515364266524,003978,moving-transient,True,
194026.8301423,0.6782259999890812,42182,42182,3,17.007545114294857,29.828097872038477,003978,moving-transient,True,
194027.005983,0.8540667000052053,42182,42182,0,0.0,24.133636975082688,003978,moving-transient,True,
194027.1815317,1.0296153999806847,42182,42182,0,0.0,16.404167204504848,003978,moving-transient,True,
194027.3577363,1.2058200000028592,42185,42185,3,17.02566221098919,8.770756404686109,003978,moving-transient,True,
194027.5333002,1.3813839000067674,42193,42193,8,45.567454356060175,12.831976842345426,003978,moving-transient,True,
194027.7091635,1.5572471999912523,42199,42199,6,34.117408239975795,19.664380543415547,003978,moving-transient,True,
194027.8855746,1.733658299985109,42201,42201,2,11.33715508870841,25.01394436423782,003978,moving-transient,True,
194028.0610326,1.9091162999975495,42206,42206,5,28.49684824656318,28.258998510565906,003978,moving-transient,True,
194028.2369662,2.0850498999934644,42227,42227,21,119.36321430634976,40.772062147273815,003978,moving-transient,True,
194028.4129048,2.260988499998348,42231,42231,4,22.73520421265699,45.31155603427089,003978,moving-transient,True,
194028.5890356,2.4371192999824416,2139393,42231,1037834,,,003978,invalid,False,rejected-implausible-position-jump
