axis,command_monotonic_s,commanded_progress_from_rest_counts,counts_per_s,degrees_per_s,direction,duration_requested_s,elapsed_measurement_s,end_raw,invalid_samples_total,load_context,measure_start_raw,payload_hex,point_index,preflight_alt_raw,preflight_alt_rx_bytes_hex,preflight_az_raw,preflight_az_rx_bytes_hex,reverse_samples_total,run_label,run_status,sample_seconds,settle_seconds,signed_modular_delta_counts,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,starts_from_rest,valid_measurement_samples,warmup_seconds
alt,285083.7764623,5657,1040.6785566418428,0.3536622088636035,+,8.0,4.9102577999583445,5614,0,horizontal-ota-current-postswap-baseline,504,002000,1,1059285,1029D5,258,000102,0,alt-postswap-low-speed-plus-r1,completed,0.18,1.0,5110,commanded-progress-in-both-halves,True,1059285,1029D5,True,26,3.0
alt,285093.8999801,11345,1826.0472423316012,0.6205603998377994,+,8.0,4.717840700002853,17001,0,horizontal-ota-current-postswap-baseline,8386,003978,2,1059285,1029D5,258,000102,0,alt-postswap-low-speed-plus-r1,completed,0.18,1.0,8615,commanded-progress-in-both-halves,True,5656,001618,True,25,3.0
alt,285104.0238405,16147,2265.5787254596326,0.7699299378147918,+,8.0,4.718441199976951,33563,0,horizontal-ota-current-postswap-baseline,22873,005000,3,1059285,1029D5,258,000102,0,alt-postswap-low-speed-plus-r1,completed,0.18,1.0,10690,commanded-progress-in-both-halves,True,17416,004408,True,25,3.0
alt,285114.1474978,24693,3278.9923878435566,1.114326497197922,+,8.0,4.893271499953698,58953,0,horizontal-ota-current-postswap-baseline,42908,0072F1,4,1059285,1029D5,258,000102,0,alt-postswap-low-speed-plus-r1,completed,0.18,1.0,16045,commanded-progress-in-both-halves,True,34260,0085D4,True,26,3.0
