axis,plus_minus_mean_signed_error_difference_counts,plus_minus_mean_absolute_error_difference_counts,plus_minus_mean_coast_difference_counts,plus_minus_mean_motion_time_difference_s
az,424.0,-42.0,55.0,-3.459787166658014
alt,374.4166666666667,-125.08333333333333,134.16666666666669,2.1402139583296957
