command_hex,cycle_index,elapsed_s,event,monotonic_s,note
,1,0.9788310000149067,CYCLE_START,259797.4071717,
06000000,1,0.9788506999902893,PRE_STOP_1,259797.4071921,
06000000,1,1.0292516000044998,PRE_STOP_2,259797.4575927,
0600E5E3,1,1.3053318000165746,TX_FAST,259797.7336731,
,1,3.4162454000033904,FAST_PROGRESS_CONFIRMED,259799.8445871,5093
060072F1,1,3.4162484999978915,TX_MEDIUM,259799.8445901,
06000000,1,11.50818239999353,STOP_1,259807.936524,
06000000,1,11.558401699992828,STOP_2,259807.9867432,
,1,11.558506800007308,CYCLE_END,259807.9868484,normal-medium-complete
,2,11.558514200005447,CYCLE_START,259807.9868559,
06000000,2,11.558516599994618,PRE_STOP_1,259807.9868583,
06000000,2,11.608667399996193,PRE_STOP_2,259808.0370085,
0600E5E3,2,11.87597399999504,TX_FAST,259808.3043156,
,2,13.986911499989219,FAST_PROGRESS_CONFIRMED,259810.4152532,4496
060072F1,2,13.986914900015108,TX_MEDIUM,259810.4152565,
06000000,2,22.07889430000796,STOP_1,259818.507236,
06000000,2,22.12913360001403,STOP_2,259818.5574747,
,2,22.12932430001092,CYCLE_END,259818.5576659,normal-medium-complete
,3,22.129331500007538,CYCLE_START,259818.5576731,
06000000,3,22.12933399999747,PRE_STOP_1,259818.5576756,
06000000,3,22.179478800011566,PRE_STOP_2,259818.6078195,
0600E5E3,3,22.44663550000405,TX_FAST,259818.874977,
,3,24.557600000000093,FAST_PROGRESS_CONFIRMED,259820.9859417,4205
060072F1,3,24.55760349999764,TX_MEDIUM,259820.9859451,
06000000,3,32.64950719999615,STOP_1,259829.0778488,
06000000,3,32.699650599999586,STOP_2,259829.1279921,
,3,32.699749899999006,CYCLE_END,259829.1280914,normal-medium-complete
,4,32.69975440000417,CYCLE_START,259829.128096,
06000000,4,32.69975709999562,PRE_STOP_1,259829.1280987,
06000000,4,32.749878700007685,PRE_STOP_2,259829.1782201,
0600E5E3,4,33.017287199996645,TX_FAST,259829.4456287,
,4,35.12825680000242,FAST_PROGRESS_CONFIRMED,259831.5565984,4285
060072F1,4,35.12825989999692,TX_MEDIUM,259831.5566015,
06000000,4,43.220109899993986,STOP_1,259839.6484515,
06000000,4,43.27046790000168,STOP_2,259839.6988079,
,4,43.270615399989765,CYCLE_END,259839.6989568,normal-medium-complete
,5,43.27062060000026,CYCLE_START,259839.6989622,
06000000,5,43.27062329999171,PRE_STOP_1,259839.6989649,
06000000,5,43.3207689000119,PRE_STOP_2,259839.7491101,
0600E5E3,5,43.5879033000092,TX_FAST,259840.016245,
,5,45.698812199989334,FAST_PROGRESS_CONFIRMED,259842.1271538,4347
060072F1,5,45.69881560001522,TX_MEDIUM,259842.1271571,
06000000,5,53.790768300008494,STOP_1,259850.2191099,
06000000,5,53.84094510000432,STOP_2,259850.2692866,
,5,53.8410431999946,CYCLE_END,259850.2693847,normal-medium-complete
,6,53.841047900001286,CYCLE_START,259850.2693895,
06000000,6,53.841050899995025,PRE_STOP_1,259850.2693925,
06000000,6,53.89115869998932,PRE_STOP_2,259850.3195001,
0600E5E3,6,54.15847450000001,TX_FAST,259850.5868161,
,6,56.269429200008744,FAST_PROGRESS_CONFIRMED,259852.6977709,4434
060072F1,6,56.26943280000705,TX_MEDIUM,259852.6977744,
06000000,6,64.36171510000713,STOP_1,259860.7900567,
06000000,6,64.411926700006,STOP_2,259860.8402679,
,6,64.41205410001567,CYCLE_END,259860.8403956,normal-medium-complete
,7,64.41206490001059,CYCLE_START,259860.8404065,
06000000,7,64.41206740000052,PRE_STOP_1,259860.8404091,
06000000,7,64.46247550001135,PRE_STOP_2,259860.8908169,
0600E5E3,7,64.72910349999438,TX_FAST,259861.1574451,
,7,66.84006970000337,FAST_PROGRESS_CONFIRMED,259863.2684113,4528
060072F1,7,66.84007310000015,TX_MEDIUM,259863.2684147,
06000000,7,74.93198449999909,STOP_1,259871.3603261,
06000000,7,74.98219199999585,STOP_2,259871.4105331,
,7,74.98235840001144,CYCLE_END,259871.4107,normal-medium-complete
,8,74.98236329999054,CYCLE_START,259871.4107049,
06000000,8,74.98236570000881,PRE_STOP_1,259871.4107073,
06000000,8,75.03250440000556,PRE_STOP_2,259871.4608458,
0600E5E3,8,75.29972159999306,TX_FAST,259871.7280632,
,8,77.41069200000493,FAST_PROGRESS_CONFIRMED,259873.8390336,4679
060072F1,8,77.41069540000171,TX_MEDIUM,259873.839037,
06000000,8,85.50261180000962,STOP_1,259881.9309534,
06000000,8,85.55282219999935,STOP_2,259881.9811636,
,8,85.5529366999981,CYCLE_END,259881.9812782,normal-medium-complete
,9,85.5529460000107,CYCLE_START,259881.9812876,
06000000,9,85.55295070001739,PRE_STOP_1,259881.9812923,
06000000,9,85.60318659999757,PRE_STOP_2,259882.0315278,
0600E5E3,9,85.87035499999183,TX_FAST,259882.2986966,
,9,87.9812940999982,FAST_PROGRESS_CONFIRMED,259884.4096358,4579
060072F1,9,87.98130089999177,TX_MEDIUM,259884.4096425,
06000000,9,96.07318569999188,STOP_1,259892.5015273,
06000000,9,96.12330239999574,STOP_2,259892.5516439,
,9,96.1234126999916,CYCLE_END,259892.5517543,normal-medium-complete
,10,96.123417099996,CYCLE_START,259892.5517587,
06000000,10,96.12341950001428,PRE_STOP_1,259892.5517611,
06000000,10,96.17393449999508,PRE_STOP_2,259892.6022759,
0600E5E3,10,96.4409588999988,TX_FAST,259892.8693004,
,10,98.55186090001371,FAST_PROGRESS_CONFIRMED,259894.9802025,3849
060072F1,10,98.55186450001202,TX_MEDIUM,259894.9802061,
06000000,10,106.64378620000207,STOP_1,259903.0721278,
06000000,10,106.69389230001252,STOP_2,259903.1222337,
,10,106.6939917000127,CYCLE_END,259903.1223332,normal-medium-complete
