payload_hex,payload_int,direction_of_sweep,mean_counts_s,median_counts_s,std_counts_s,tail_median_counts_s,tail_position_slope_counts_s,motion_trend,deg_s,arcsec_s,tail_active_fraction,sustained_motion,classification,steady_samples
00E5E3,58851,high-to-low,3773.485353075218,3746.7599621782133,262.80734417817433,4009.1966992430353,4062.360659244475,steady,1.273291734367596,4583.850243723346,1.0,True,sustained,15
00A000,40960,high-to-low,1846.1484847907338,1909.9014871122845,421.80146144474725,2347.0997851237908,2431.485635468868,steady,0.6490572658897173,2336.606157202982,1.0,True,sustained,14
0072F1,29425,high-to-low,843.0815685122308,731.0451000774289,287.8923617065362,1243.7077874750712,1338.7267432797496,steady,0.24843696761331183,894.3730834079225,1.0,True,sustained,14
005000,20480,high-to-low,214.40457304694672,156.23899621604744,176.2670862937435,434.6347996616937,504.14071352420916,accelerating,0.053095961437606747,191.14546117538427,1.0,True,sustained,14
003978,14712,high-to-low,84.04032689125509,54.02360019811423,85.45006599100061,190.4281573354329,227.980607110991,accelerating,0.018359276891879685,66.09339681076688,1.0,True,sustained,14
002000,8192,high-to-low,16.244960162414937,11.366527101294071,18.929930703211653,34.095292760804256,44.9205963734522,accelerating,0.0038627788149334917,13.906003733760569,1.0,True,sustained,14
001000,4096,high-to-low,4.061454025642183,2.8364931867812206,4.696742479539828,2.8364931867812206,1.7063355495023107,decelerating,0.0009639484156382532,3.470214296297711,0.5,True,sustained,14
000800,2048,high-to-low,-4.2943591485132595,0.0,73068.98446902666,0.0,-18624.614438711764,unknown,0.0,0.0,0.5,False,stalled,14
000400,1024,high-to-low,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,False,stalled,14
000200,512,high-to-low,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,False,stalled,14
0000F5,245,high-to-low,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,False,stalled,14
