run_label,payload_index,trial_index,payload_hex,window_index,window_nominal_start_s,window_nominal_end_s,sample_start_s,sample_end_s,start_raw,end_raw,signed_delta_counts,elapsed_s,counts_per_s,commanded_cps,degrees_per_s,valid_samples,invalid_samples,reverse_increments
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,1,0.0,30.0,0.0,29.87702939999872,1047711,1048071,360,29.87702939999872,12.049390693440742,12.049390693440742,0.004094841871109484,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,2,30.0,60.0,30.08501840000099,59.97707259999879,1048071,1048472,401,29.8920541999978,13.414936200671999,13.414936200671999,0.004558906242676413,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,3,60.0,90.0,60.169083100001444,89.85367050000059,1048473,1048833,360,29.684587399999145,12.127505602453157,12.127505602453157,0.0041213882922788185,152,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,4,90.0,120.0,90.06109090000245,119.92170389999956,1048835,1049209,374,29.8606129999971,12.524860089109232,12.524860089109232,0.004256424480500207,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,5,120.0,150.0,120.12969940000039,149.8127394999974,1049209,1049552,343,29.683040099997015,11.555420160620088,11.555420160620088,0.003926971870679555,152,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,6,150.0,180.0,150.0047326999993,179.8961810999972,1049552,1049922,370,29.8914483999979,12.378122165536348,12.378122165536348,0.004206557345404903,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,7,180.0,210.0,180.08818859999883,209.96320749999722,1049927,1050289,362,29.875018899998395,12.117147145972833,12.117147145972833,0.004117868094254301,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,8,210.0,240.0,210.17077889999928,239.85682919999817,1050289,1050631,342,29.686050299998897,11.520562572111949,11.520562572111949,0.0039151259345172615,152,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,9,240.0,270.0,240.04824360000202,269.92528100000345,1050631,1050994,363,29.877037400001427,12.149799029269973,12.149799029269973,0.004128964447779338,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r1,1,1,00001E,10,270.0,279.9635288999998,270.13285599999654,279.9635288999998,1050996,1051124,128,9.830672900003265,13.020471874306539,13.020471874306539,0.004424852240996513,51,0,0
