timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,note
194474.2522464,0.0,00F3E2,valid-start,62434,62434,0,,,002000,waiting-for-breakaway,True,start
194474.4281751,0.1759287000168115,00F3E2,valid,62434,62434,0,0.0,,002000,waiting-for-breakaway,True,
194474.6040711,0.3518247000174597,00F3E2,valid,62434,62434,0,0.0,0.0,002000,waiting-for-breakaway,True,
194474.7799869,0.5277404999942519,00F3E2,valid,62434,62434,0,0.0,0.0,002000,waiting-for-breakaway,True,
194474.9558953,0.7036489000020083,00F3E2,valid,62434,62434,0,0.0,0.0,002000,waiting-for-breakaway,True,
194475.131753,0.8795066000020597,00F3E2,valid,62434,62434,0,0.0,0.0,002000,waiting-for-breakaway,True,
194475.3076755,1.0554291000007652,00F3E2,valid,62434,62434,0,0.0,0.0,002000,waiting-for-breakaway,True,
194475.4836148,1.2313684000109788,00F3E2,valid,62434,62434,0,0.0,0.0,002000,waiting-for-breakaway,True,
194475.6594806,1.4072342000145,00F3E4,valid,62436,62436,2,11.372307748066744,1.6242595440737257,002000,moving-transient,True,
194475.8354024,1.5831560000078753,00F3E6,valid,62438,62438,2,11.368687678703344,4.223053388500617,002000,moving-transient,True,
194476.0113538,1.759107399993809,00F3EE,valid,62446,62446,8,45.46710057799799,12.018915559643997,002000,moving-transient,True,
194476.1872459,1.9349994999938644,00F3F1,valid,62449,62449,3,17.05591098178402,18.35332656732924,002000,moving-transient,True,
194476.3631672,2.1109208000125363,00F3F2,valid,62450,62450,1,5.68435999446265,20.62710249979201,002000,moving-transient,True,
194476.5390666,2.28682020000997,00F3F3,valid,62451,62451,1,5.685067714924496,18.515394534216135,002000,moving-transient,True,
194476.7149508,2.4627044000080787,00F3F7,valid,62455,62455,4,22.742236085123128,16.404844661659187,002000,moving-transient,True,
194476.8908718,2.6386253999953624,00F408,valid,62472,62472,17,96.63428471432535,24.20175051001993,002000,moving-transient,True,
194477.0667912,2.8145447999995667,00F412,valid,62482,62482,10,56.84421388295439,38.169923098553404,002000,moving-transient,True,
194477.2426961,2.9904497000097763,00F41F,valid,62495,62495,13,73.90356948126788,54.41234944239827,002000,moving-transient,True,
194477.4186152,3.1663688000116963,00F422,valid,62498,62498,3,17.05329324653922,59.283203272055985,002000,moving-transient,True,
194477.5945536,3.342307200015057,00F42D,valid,62509,62509,11,62.5218826577364,58.630975700611685,002000,moving-transient,True,
194477.7704425,3.51819610001985,00F442,valid,62530,62530,21,119.39354899273206,60.74303469622225,002000,moving-transient,True,
194477.946366,3.694119599997066,00F450,valid,62544,62544,14,79.58004474566015,69.18870356978428,002000,moving-transient,True,
194478.1222627,3.8700163000030443,00F46E,valid,62574,62574,30,170.55464939922334,89.97858554700001,002000,moving-transient,True,
194478.2981566,4.045910200016806,00F48F,valid,62607,62607,33,187.61310083759668,122.4663141782619,002000,moving-transient,True,
194478.4740841,4.221837699995376,00F4CA,valid,62666,62666,59,335.36542045551033,169.89692940651392,002000,moving-transient,True,
194478.6500043,4.397757900005672,00F511,valid,62737,62737,71,403.59208320502495,232.91213433802434,002000,moving-transient,True,
194478.8259432,4.57369680001284,00F55D,valid,62813,62813,76,431.9681434685776,307.455743364277,002000,moving-transient,True,
194479.0018066,4.749560199998086,00F5AA,valid,62890,62890,77,437.8398234451269,368.5236542331118,002000,moving-transient,True,
194479.177747,4.925500600016676,00F5FC,valid,62972,62972,82,466.06691806620887,417.8939032436019,002000,moving-transient,True,
194479.3536166,5.101370200020028,00F64B,valid,63051,63051,79,449.1964500885549,439.6794825908758,002000,moving-transient,True,
194479.5295463,5.27729990001535,00F698,valid,63128,63128,77,437.6748212612616,446.8324082844799,002000,moving-transient,True,
194479.7054804,5.4532340000150725,00F708,valid,63240,63240,112,636.602000409113,475.5749644238848,002000,moving-transient,True,
194479.8813565,5.6291101000097115,00F77B,valid,63355,63355,115,653.8694001260287,520.7180536543568,002000,moving-transient,True,
194480.0572444,5.80499800000689,00F7F9,valid,63481,63481,126,716.3653668161439,579.6982008092425,002000,moving-transient,True,
194480.2331639,5.980917500011856,00F86C,valid,63596,63596,115,653.7080880559222,633.291240687991,002000,moving-transient,True,
194480.4090371,6.1567907000135165,00F8F5,valid,63733,63733,137,778.9703035977417,685.3033459051928,002000,moving-transient,True,
194480.584974,6.332727600005455,00F9B3,valid,63923,63923,190,1079.9326349884846,757.5845312828699,002000,moving-transient,True,
194480.7608783,6.508631900011096,00FA61,valid,64097,64097,174,989.1742270906409,840.2290159370342,002000,moving-transient,True,
194480.936768,6.684521600021981,00FB39,valid,64313,64313,216,1228.0423469176042,950.6720774656237,002000,moving-transient,True,
194481.1126842,6.860437800001819,00FBFA,valid,64506,64506,193,1097.1132847464874,1049.9140605215207,002000,moving-transient,True,
194481.2886138,7.036367399996379,00FCC7,valid,64711,64711,205,1165.2388228378743,1113.3840523543336,002000,moving-transient,True,
194481.4645083,7.21226190001471,00FD8F,valid,64911,64911,200,1137.0452173271913,1132.8948707567683,002000,moving-transient,True,
194481.6404213,7.388174899999285,00FE59,valid,65113,65113,202,1148.2948958730278,1149.7731551314866,002000,moving-transient,True,
194481.8162926,7.564046200015582,00FF25,valid,65317,65317,204,1159.9391144609522,1143.6265832795098,002000,moving-transient,True,
194481.9922071,7.739960700011579,00FFF1,valid,65521,65521,204,1159.6542638875244,1152.4285510576601,002000,moving-transient,True,
194482.1681443,7.9158979000058025,0100B2,valid,65714,65714,193,1096.9823323682374,1144.9460283657022,002000,moving-transient,True,
194482.3440261,8.09177970001474,01018D,valid,65933,65933,219,1245.1544161412446,1155.98115843561,002000,moving-transient,True,
194482.5199469,8.267700500000501,010265,valid,66149,66149,216,1227.8252487339942,1172.85579147665,002000,moving-transient,True,
194482.695812,8.443565599998692,010348,valid,66376,66376,227,1290.7620670749056,1201.6163852692428,002000,moving-transient,True,
194482.8717349,8.619488500000443,010425,valid,66597,66597,221,1256.2321334959804,1231.530246747327,002000,moving-transient,True,
194483.0476229,8.795376499998383,01051D,valid,66845,66845,248,1409.9881743092462,1278.9973058678077,002000,moving-transient,True,
194483.2235469,8.97130050000851,0105FD,valid,67069,67069,224,1273.2770968549219,1297.6411984393883,002000,moving-transient,True,
194483.399447,9.147200600011274,0106EF,valid,67311,67311,242,1375.780911984687,1321.6725566230223,002000,moving-transient,True,
194483.575361,9.323114600003464,0107D7,valid,67543,67543,232,1318.8262447008206,1332.0216221595754,002000,moving-transient,True,
194483.7512251,9.49897869999404,0108CD,valid,67789,67789,246,1398.807374632922,1347.5039710361057,002000,moving-transient,True,
194483.9271505,9.674904100014828,0109C5,valid,68037,68037,248,1409.6884245861945,1356.5953449422725,002000,moving-transient,True,
