axis,changed_bit_positions_lsb0,elapsed_ms,hamming_distance,monotonic_s,raw_position,reply_kind,rx_bytes_hex,sample_index,timestamp,tx_bytes_hex,valid_position,xor_to_modal_hex
az,,26.272099996276665,0,38318.2627497,1,valid,000001,1,1790199588.3791585,01,True,000000
az,,11.76850000047125,0,38318.2947424,1,valid,000001,2,1790199588.41115,01,True,000000
az,,11.759200002416037,0,38318.32675,1,valid,000001,3,1790199588.443158,01,True,000000
az,,11.127799996756949,0,38318.358161,1,valid,000001,4,1790199588.4745688,01,True,000000
az,,11.652599998342339,0,38318.3901653,1,valid,000001,5,1790199588.5065732,01,True,000000
az,,11.628699998254888,0,38318.4221646,1,valid,000001,6,1790199588.5385723,01,True,000000
az,,11.899899996933527,0,38318.4542123,1,valid,000001,7,1790199588.5706217,01,True,000000
az,,11.550800001714379,0,38318.4861555,1,valid,000001,8,1790199588.6025634,01,True,000000
az,,11.515700003656093,0,38318.5181496,1,valid,000001,9,1790199588.6345575,01,True,000000
az,,11.800799999036826,0,38318.5501836,1,valid,000001,10,1790199588.666592,01,True,000000
az,,11.791700002504513,0,38318.582184,1,valid,000001,11,1790199588.6985927,01,True,000000
az,,11.93760000023758,0,38318.6141859,1,valid,000001,12,1790199588.7305944,01,True,000000
az,,11.942999997700099,0,38318.6462003,1,valid,000001,13,1790199588.7626102,01,True,000000
az,,11.909599998034537,0,38318.6781817,1,valid,000001,14,1790199588.7945902,01,True,000000
az,,11.47089999722084,0,38318.7097641,1,valid,000001,15,1790199588.8261726,01,True,000000
az,,11.686000005283859,0,38318.7417311,1,valid,000001,16,1790199588.858139,01,True,000000
az,,11.729300000297371,0,38318.7737851,1,valid,000001,17,1790199588.8901932,01,True,000000
az,,11.738299996068235,0,38318.8057305,1,valid,000001,18,1790199588.9221382,01,True,000000
az,,11.507399998663459,0,38318.8377499,1,valid,000001,19,1790199588.9541578,01,True,000000
az,,11.478199994598981,0,38318.8697231,1,valid,000001,20,1790199588.9861307,01,True,000000
az,,11.975400004303083,0,38318.9017314,1,valid,000001,21,1790199589.018139,01,True,000000
az,,11.563000000023749,0,38318.9337173,1,valid,000001,22,1790199589.050125,01,True,000000
az,,11.763800001062918,0,38318.9657226,1,valid,000001,23,1790199589.08213,01,True,000000
az,,11.95210000150837,0,38318.9977181,1,valid,000001,24,1790199589.1141253,01,True,000000
az,,11.942299999645911,0,38319.0297214,1,valid,000001,25,1790199589.1461294,01,True,000000
az,,11.748500000976492,0,38319.0617157,1,valid,000001,26,1790199589.1781232,01,True,000000
az,,11.957499998970889,0,38319.0937072,1,valid,000001,27,1790199589.2101145,01,True,000000
az,,11.888400003954303,0,38319.1257083,1,valid,000001,28,1790199589.2421155,01,True,000000
az,,11.555900004168507,0,38319.157714,1,valid,000001,29,1790199589.2741213,01,True,000000
az,,11.966699996264651,0,38319.1897089,1,valid,000001,30,1790199589.306116,01,True,000000
az,,11.716900000465102,0,38319.2217096,1,valid,000001,31,1790199589.3381166,01,True,000000
az,,11.442199996963609,0,38319.253711,1,valid,000001,32,1790199589.3701184,01,True,000000
az,,11.056499999540392,0,38319.2851257,1,valid,000001,33,1790199589.4015334,01,True,000000
az,,11.58209999994142,0,38319.3171278,1,valid,000001,34,1790199589.4335356,01,True,000000
az,,11.771999998018146,0,38319.3492077,1,valid,000001,35,1790199589.4656167,01,True,000000
az,,11.847200003103353,0,38319.3811366,1,valid,000001,36,1790199589.4975445,01,True,000000
az,,11.686300000292249,0,38319.4131243,1,valid,000001,37,1790199589.5295317,01,True,000000
az,,11.992499996267725,0,38319.4451545,1,valid,000001,38,1790199589.5615616,01,True,000000
az,,11.91370000015013,0,38319.4771134,1,valid,000001,39,1790199589.5935204,01,True,000000
az,,11.857099998451304,0,38319.509115,1,valid,000001,40,1790199589.625522,01,True,000000
az,,11.975000001257285,0,38319.5411208,1,valid,000001,41,1790199589.6575284,01,True,000000
az,,11.544499997398816,0,38319.5731424,1,valid,000001,42,1790199589.6895506,01,True,000000
az,,11.897099997440819,0,38319.6051267,1,valid,000001,43,1790199589.7215347,01,True,000000
az,,11.46599999628961,0,38319.63712,1,valid,000001,44,1790199589.7535279,01,True,000000
az,,11.469400000351015,0,38319.668706,1,valid,000001,45,1790199589.7851138,01,True,000000
az,,11.941400000068825,0,38319.7006953,1,valid,000001,46,1790199589.8171027,01,True,000000
az,,11.951199994655326,0,38319.73269,1,valid,000001,47,1790199589.8490973,01,True,000000
az,,11.953900000662543,0,38319.7646871,1,valid,000001,48,1790199589.8810942,01,True,000000
az,,11.974799999734387,0,38319.7966884,1,valid,000001,49,1790199589.9130957,01,True,000000
az,,11.985999997705221,0,38319.828703,1,valid,000001,50,1790199589.9451108,01,True,000000
az,,11.576100005186163,0,38319.8606893,1,valid,000001,51,1790199589.9770968,01,True,000000
az,,11.59870000265073,0,38319.8926941,1,valid,000001,52,1790199590.0091014,01,True,000000
az,,11.57700000476325,0,38319.9246961,1,valid,000001,53,1790199590.0411046,01,True,000000
az,,11.566199995286297,0,38319.9566897,1,valid,000001,54,1790199590.0730977,01,True,000000
az,,11.561999999685213,0,38319.9886993,1,valid,000001,55,1790199590.1051068,01,True,000000
az,,11.557499994523823,0,38320.020709,1,valid,000001,56,1790199590.137117,01,True,000000
az,,11.553699994692579,0,38320.0527129,1,valid,000001,57,1790199590.1691213,01,True,000000
az,,11.842799998703413,0,38320.0846944,1,valid,000001,58,1790199590.2011025,01,True,000000
az,,11.84050000301795,0,38320.1167013,1,valid,000001,59,1790199590.23311,01,True,000000
az,,11.820100000477396,0,38320.1486849,1,valid,000001,60,1790199590.2650924,01,True,000000
az,,11.822799999208655,0,38320.1807026,1,valid,000001,61,1790199590.2971108,01,True,000000
az,,11.860399994475301,0,38320.2127116,1,valid,000001,62,1790199590.329121,01,True,000000
az,,11.543699998583179,0,38320.2446957,1,valid,000001,63,1790199590.3611035,01,True,000000
az,,11.754099999961909,0,38320.2766863,1,valid,000001,64,1790199590.3930938,01,True,000000
