axis,changed_bit_positions_lsb0,elapsed_ms,hamming_distance,monotonic_s,raw_position,reply_kind,rx_bytes_hex,sample_index,timestamp,tx_bytes_hex,valid_position,xor_to_modal_hex
az,,11.251200001424877,0,26638.5599933,1058829,valid,10280D,1,1790187908.676402,01,True,000000
az,,11.507399998663459,0,26638.5915685,1058829,valid,10280D,2,1790187908.7079759,01,True,000000
az,,11.962500000663567,0,26638.6235886,1058829,valid,10280D,3,1790187908.7399962,01,True,000000
az,,11.950500000239117,0,26638.6555701,1058829,valid,10280D,4,1790187908.7719774,01,True,000000
az,,11.507500003062887,0,26638.6875633,1058829,valid,10280D,5,1790187908.8039706,01,True,000000
az,,11.504099999001483,0,26638.7195623,1058829,valid,10280D,6,1790187908.8359692,01,True,000000
az,,11.961299998802133,0,26638.7515552,1058829,valid,10280D,7,1790187908.8679626,01,True,000000
az,,11.869699999806471,0,26638.7835627,1058829,valid,10280D,8,1790187908.8999698,01,True,000000
az,,11.959299998125061,0,26638.8155518,1058829,valid,10280D,9,1790187908.9319592,01,True,000000
az,,11.88679999904707,0,26638.8475753,1058829,valid,10280D,10,1790187908.963983,01,True,000000
az,,11.639399999694433,0,26638.8796048,1058829,valid,10280D,11,1790187908.9960139,01,True,000000
az,,11.624700000538724,0,26638.9116053,1058829,valid,10280D,12,1790187909.0280147,01,True,000000
az,,11.583700001210673,0,26638.9435983,1058829,valid,10280D,13,1790187909.0600069,01,True,000000
az,,11.59150000239606,0,26638.9755937,1058829,valid,10280D,14,1790187909.0920026,01,True,000000
az,,11.664099998597521,0,26639.0076052,1058829,valid,10280D,15,1790187909.1240144,01,True,000000
az,,11.575800002901815,0,26639.039571,1058829,valid,10280D,16,1790187909.1559792,01,True,000000
az,,11.559700000361772,0,26639.0715705,1058829,valid,10280D,17,1790187909.187979,01,True,000000
az,,11.931200002436526,0,26639.103555,1058829,valid,10280D,18,1790187909.2199628,01,True,000000
az,,11.919600001419894,0,26639.1355449,1058829,valid,10280D,19,1790187909.2519524,01,True,000000
az,,11.909799999557436,0,26639.1675625,1058829,valid,10280D,20,1790187909.2839704,01,True,000000
az,,11.354099999152822,0,26639.1989669,1058829,valid,10280D,21,1790187909.3153746,01,True,000000
az,,11.969499999395339,0,26639.2309679,1058829,valid,10280D,22,1790187909.3473752,01,True,000000
az,,11.97160000083386,0,26639.2629664,1058829,valid,10280D,23,1790187909.3793736,01,True,000000
