cumulative_from_start,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
109,109,+,0.4773346000001766,723.5769928544893,,212369.8687467,00E5E3,FAST,88690,015A72,88690,True
370,261,+,0.6528373000037391,1487.1566078168712,,212370.0442494,00E5E3,FAST,88951,015B77,88951,True
728,358,+,0.8289031999884173,2033.329565981568,,212370.2203153,00E5E3,FAST,89309,015CDD,89309,True
1086,358,+,1.0049644999962766,2033.3826910514642,,212370.3963766,00E5E3,FAST,89667,015E43,89667,True
1523,437,+,1.1804829000029713,2489.7674544852944,,212370.571895,00E5E3,FAST,90104,015FF8,90104,True
2020,497,+,1.3564562000101432,2824.2920941969287,,212370.7478683,00E5E3,FAST,90601,0161E9,90601,True
2504,484,+,1.5324928000045475,2749.4282439866774,,212370.9239049,00E5E3,FAST,91085,0163CD,91085,True
2989,485,+,1.7082688999944367,2759.1919494623994,,212371.099681,00E5E3,FAST,91570,0165B2,91570,True
3488,499,+,1.8840308999933768,2839.0664648957622,,212371.275443,00E5E3,FAST,92069,0167A5,92069,True
3970,482,+,2.0600906999898143,2737.706165801353,,212371.4515028,00E5E3,FAST,92551,016987,92551,True
4450,480,+,2.2362660999933723,2724.5574580236853,,212371.6276782,00E5E3,FAST,93031,016B67,93031,True
4978,528,+,2.41176310001174,3008.5984372652492,,212371.8031752,00E5E3,FAST,93559,016D77,93559,True
5382,404,+,2.5878677000000607,2294.0911255401224,,212371.9792798,0072F1,MEDIUM,93963,016F0B,93963,True
5602,220,+,2.7636177999957,1251.777381665551,,212372.1550299,0072F1,MEDIUM,94183,016FE7,94183,True
5702,100,+,2.9396406000014395,568.1082223253994,,212372.3310527,0072F1,MEDIUM,94283,01704B,94283,True
5750,48,+,3.115804000000935,272.4743051061539,,212372.5072161,0072F1,MEDIUM,94331,01707B,94331,True
5778,28,+,3.2912875000038184,159.55916083016314,,212372.6826996,0072F1,MEDIUM,94359,017097,94359,True
5814,36,+,3.467608000006294,204.17364968619404,,212372.8590201,0072F1,MEDIUM,94395,0170BB,94395,True
5852,38,+,3.6431440000014845,216.4798104151919,,212373.0345561,0072F1,MEDIUM,94433,0170E1,94433,True
5910,58,+,3.818998400005512,329.8183042259488,,212373.2104105,0072F1,MEDIUM,94491,01711B,94491,True
5979,69,+,3.9948995000158902,392.2658812021582,,212373.3863116,0072F1,MEDIUM,94560,017160,94560,True
6058,79,+,4.171179299999494,448.15117788508917,,212373.5625914,0072F1,MEDIUM,94639,0171AF,94639,True
6123,65,+,4.3467451999895275,370.23134904722366,,212373.7381573,0072F1,MEDIUM,94704,0171F0,94704,True
6207,84,+,4.523050899995724,476.44517447279253,,212373.914463,0072F1,MEDIUM,94788,017244,94788,True
6320,113,+,4.698571899993112,643.7976082729772,,212374.089984,0072F1,MEDIUM,94901,0172B5,94901,True
6449,129,+,4.8745380000036675,733.0957496487221,,212374.2659501,0072F1,MEDIUM,95030,017336,95030,True
6577,128,+,5.0503967000113335,727.857080681367,,212374.4418088,0072F1,MEDIUM,95158,0173B6,95158,True
6753,176,+,5.226300300011644,1000.5480274405364,,212374.6177124,0072F1,MEDIUM,95334,017466,95334,True
6952,199,+,5.4022251999995206,1131.1644912898275,,212374.7936373,0072F1,MEDIUM,95533,01752D,95533,True
7168,216,+,5.578149900014978,1227.798029389969,,212374.969562,0072F1,MEDIUM,95749,017605,95749,True
7396,228,+,5.754089399997611,1295.900011211276,,212375.1455015,0072F1,MEDIUM,95977,0176E9,95977,True
7643,247,+,5.929940100002568,1404.6006071800484,,212375.3213522,0072F1,MEDIUM,96224,0177E0,96224,True
7884,241,+,6.106373099988559,1365.957615747256,,212375.4977852,0072F1,MEDIUM,96465,0178D1,96465,True
8128,244,+,6.282027500012191,1389.0913063787377,,212375.6734396,0072F1,MEDIUM,96709,0179C5,96709,True
8367,239,+,6.457945700007258,1358.5859792034134,,212375.8493578,0072F1,MEDIUM,96948,017AB4,96948,True
8614,247,+,6.634052400011569,1402.5587896085337,,212376.0254645,0072F1,MEDIUM,97195,017BAB,97195,True
8863,249,+,6.809503399999812,1419.1996626789562,,212376.2009155,0072F1,MEDIUM,97444,017CA4,97444,True
9140,277,+,6.98544600000605,1574.3770979295498,,212376.3768581,0072F1,MEDIUM,97721,017DB9,97721,True
9475,335,+,7.161720300005982,1900.4472007554677,,212376.5531324,0072F1,MEDIUM,98056,017F08,98056,True
9850,375,+,7.337271900003543,2136.1240797874193,,212376.728684,0072F1,MEDIUM,98431,01807F,98431,True
10259,409,+,7.513508800009731,2320.7398676760604,,212376.9049209,0072F1,MEDIUM,98840,018218,98840,True
10616,357,+,7.689463399990927,2028.9324634772356,,212377.0808755,0072F1,MEDIUM,99197,01837D,99197,True
11015,399,+,7.865071500011254,2272.1047602805093,,212377.2564836,0072F1,MEDIUM,99596,01850C,99596,True
11436,421,+,8.040853499987861,2395.0120038230675,,212377.4322656,0072F1,MEDIUM,100017,0186B1,100017,True
11866,430,+,8.216780799994012,2444.191435808799,,212377.6081929,0072F1,MEDIUM,100447,01885F,100447,True
12254,388,+,8.393156400008593,2199.850772827564,,212377.7845685,0072F1,MEDIUM,100835,0189E3,100835,True
12666,412,+,8.568681300006574,2347.24531963692,,212377.9600934,0072F1,MEDIUM,101247,018B7F,101247,True
13097,431,+,8.744490600016434,2451.51991376923,,212378.1359027,0072F1,MEDIUM,101678,018D2E,101678,True
13528,431,+,8.920421799994074,2449.8212940898366,,212378.3118339,0072F1,MEDIUM,102109,018EDD,102109,True
13994,466,+,9.096750900003826,2642.7855638928936,,212378.488163,0072F1,MEDIUM,102575,0190AF,102575,True
14490,496,+,9.272303200006718,2825.368850147963,,212378.6637153,0072F1,MEDIUM,103071,01929F,103071,True
14973,483,+,9.448232800001279,2745.416348442406,,212378.8396449,0072F1,MEDIUM,103554,019482,103554,True
15456,483,+,9.62440540001262,2741.629515423547,,212379.0158175,0072F1,MEDIUM,104037,019665,104037,True
15935,479,+,9.799981299991487,2728.1648566668596,,212379.1913934,0072F1,MEDIUM,104516,019844,104516,True
16424,489,+,9.976316599990241,2773.125970826338,,212379.3677287,0072F1,MEDIUM,105005,019A2D,105005,True
16903,479,+,10.151708499994129,2731.026917374078,,212379.5431206,0072F1,MEDIUM,105484,019C0C,105484,True
17385,482,+,10.327645200013649,2739.6216931801223,,212379.7190573,0072F1,MEDIUM,105966,019DEE,105966,True
17868,483,+,10.503554499999154,2745.7331706726004,,212379.8949666,0072F1,MEDIUM,106449,019FD1,106449,True
