delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,1059263,14713,valid-start,1029BF,START,1073976,1790025069.1304588,1059263
147,0.15016920000198297,,00E5E3,82,14566,valid,000052,FAST,1073976,1790025069.306367,1059410
333,0.32607710000593215,,00E5E3,415,14233,valid,00019F,FAST,1073976,1790025069.4822865,1059743
456,0.502254199993331,,00E5E3,871,13777,valid,000367,FAST,1073976,1790025069.6582174,1060199
497,0.6778179999964777,,00E5E3,1368,13280,valid,000558,FAST,1073976,1790025069.8340855,1060696
434,0.853841400006786,,00E5E3,1802,12846,valid,00070A,FAST,1073976,1790025070.0099838,1061130
447,1.0295883000071626,,00E5E3,2249,12399,valid,0008C9,FAST,1073976,1790025070.1858952,1061577
458,1.2057573999918532,,00E5E3,2707,11941,valid,000A93,FAST,1073976,1790025070.3618038,1062035
502,1.3814008999906946,,00E5E3,3209,11439,valid,000C89,FAST,1073976,1790025070.5377462,1062537
479,1.5576243000105023,,00E5E3,3688,10960,valid,000E68,FAST,1073976,1790025070.713675,1063016
482,1.73346620000666,,00E5E3,4170,10478,valid,00104A,FAST,1073976,1790025070.889549,1063498
481,1.9095688000088558,,00E5E3,4651,9997,valid,00122B,FAST,1073976,1790025071.0654247,1063979
483,2.0854324999963865,,00E5E3,5134,9514,valid,00140E,FAST,1073976,1790025071.24133,1064462
497,2.2610513000108767,,00E5E3,5631,9017,valid,0015FF,FAST,1073976,1790025071.4172258,1064959
468,2.4369968000100926,,00E5E3,6099,8549,valid,0017D3,FAST,1073976,1790025071.5931187,1065427
491,2.6129124999861233,,00E5E3,6590,8058,valid,0019BE,FAST,1073976,1790025071.7690294,1065918
477,2.7890053000010084,,00E5E3,7067,7581,valid,001B9B,FAST,1073976,1790025071.9449584,1066395
498,2.964559299987741,,00E5E3,7565,7083,valid,001D8D,FAST,1073976,1790025072.120847,1066893
532,3.140561800013529,,00E5E3,8097,6551,valid,001FA1,FAST,1073976,1790025072.296759,1067425
554,3.316521400003694,,00E5E3,8651,5997,valid,0021CB,FAST,1073976,1790025072.4726958,1067979
566,3.492285099986475,,00E5E3,9217,5431,valid,002401,FAST,1073976,1790025072.6486082,1068545
524,3.66822009999305,,00E5E3,9741,4907,valid,00260D,FAST,1073976,1790025072.8244991,1069069
437,3.8445854999881703,,0072F1,10178,4470,valid,0027C2,MEDIUM,1073976,1790025073.0003893,1069506
203,4.019989799999166,,0072F1,10381,4267,valid,00288D,MEDIUM,1073976,1790025073.176324,1069709
74,4.196399200009182,,0072F1,10455,4193,valid,0028D7,MEDIUM,1073976,1790025073.3522022,1069783
18,4.372084300004644,,0072F1,10473,4175,valid,0028E9,MEDIUM,1073976,1790025073.5280914,1069801
36,4.547723399999086,,0072F1,10509,4139,valid,00290D,MEDIUM,1073976,1790025073.7040331,1069837
9,4.724105600005714,,0072F1,10518,4130,valid,002916,MEDIUM,1073976,1790025073.8799107,1069846
39,4.899568399996497,,0072F1,10557,4091,valid,00293D,MEDIUM,1073976,1790025074.0558248,1069885
52,5.075805400003446,,0072F1,10609,4039,valid,002971,MEDIUM,1073976,1790025074.2317457,1069937
84,5.251348099991446,,0072F1,10693,3955,valid,0029C5,MEDIUM,1073976,1790025074.4076543,1070021
112,5.427247199986596,,0072F1,10805,3843,valid,002A35,MEDIUM,1073976,1790025074.5835698,1070133
70,5.603535100002773,,0072F1,10875,3773,valid,002A7B,MEDIUM,1073976,1790025074.7595348,1070203
116,5.7791365000011865,,0072F1,10991,3657,valid,002AEF,MEDIUM,1073976,1790025074.9353867,1070319
144,5.955447499989532,,0072F1,11135,3513,valid,002B7F,MEDIUM,1073976,1790025075.1112974,1070463
163,6.130951600003755,,0072F1,11298,3350,valid,002C22,MEDIUM,1073976,1790025075.2871904,1070626
135,6.307285099988803,,0072F1,11433,3215,valid,002CA9,MEDIUM,1073976,1790025075.4630878,1070761
118,6.48289789998671,,0072F1,11551,3097,valid,002D1F,MEDIUM,1073976,1790025075.6390066,1070879
138,6.658771899994463,,0072F1,11689,2959,valid,002DA9,MEDIUM,1073976,1790025075.8148806,1071017
177,6.834473199996864,,0072F1,11866,2782,valid,002E5A,MEDIUM,1073976,1790025075.9907963,1071194
160,7.010391599993454,,0072F1,12026,2622,valid,002EFA,MEDIUM,1073976,1790025076.1667416,1071354
207,7.186777399998391,,0072F1,12233,2415,valid,002FC9,MEDIUM,1073976,1790025076.3426456,1071561
88,7.362611499993363,,003978,12321,2327,valid,003021,FINE,1073976,1790025076.5185082,1071649
5,7.538321300002281,,003978,12326,2322,valid,003026,FINE,1073976,1790025076.6944818,1071654
4,7.714379300014116,,003978,12330,2318,valid,00302A,FINE,1073976,1790025076.8703349,1071658
