cumulative_progress,cycle_elapsed_s,cycle_index,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
105,0.15013890000409447,1,105,+,1.358385100000305,699.3505364352069,,212521.562362,00E5E3,FAST,106854,01A166,106854,True
423,0.3263905000058003,1,318,+,1.534636700002011,1804.2389402247827,,212521.7386136,00E5E3,FAST,107172,01A2A4,107172,True
793,0.5023663000029046,1,370,+,1.7106124999991152,2102.5618295588843,,212521.9145894,00E5E3,FAST,107542,01A416,107542,True
1230,0.6779823999968357,1,437,+,1.8862285999930464,2488.3823294965646,,212522.0902055,00E5E3,FAST,107979,01A5CB,107979,True
1737,0.853716900019208,1,507,+,2.0619631000154186,2885.0339571083387,,212522.26594,00E5E3,FAST,108486,01A7C6,108486,True
2240,1.0299984000157565,1,503,+,2.238244600011967,2853.3907415687318,,212522.4422215,00E5E3,FAST,108989,01A9BD,108989,True
2780,1.2057529000157956,1,540,+,2.4139991000120062,3072.467561285087,,212522.617976,00E5E3,FAST,109529,01ABD9,109529,True
3243,1.381463600002462,1,463,+,2.5897097999986727,2635.0131211994153,,212522.7936867,00E5E3,FAST,109992,01ADA8,109992,True
3758,1.5573317999951541,1,515,+,2.7655779999913648,2928.3292830733467,,212522.9695549,00E5E3,FAST,110507,01AFAB,110507,True
4305,1.7332541999930982,1,547,+,2.941500399989309,3109.3254753595493,,212523.1454773,00E5E3,FAST,111054,01B1CE,111054,True
4869,1.9094864999933634,1,564,+,3.117732699989574,3200.3213939734724,,212523.3217096,00E5E3,FAST,111618,01B402,111618,True
5404,2.0854205999930855,1,535,+,3.293666799989296,3040.9113412399593,,212523.4976437,00E5E3,FAST,112153,01B619,112153,True
5874,2.2611326000187546,1,470,+,3.4693788000149652,2674.831542133374,,212523.6733557,0072F1,MEDIUM,112623,01B7EF,112623,True
6160,2.437046700011706,1,286,+,3.6452929000079166,1625.7934981417613,,212523.8492698,0072F1,MEDIUM,112909,01B90D,112909,True
6358,2.6128081000060774,1,198,+,3.821054300002288,1126.5272124956941,,212524.0250312,0072F1,MEDIUM,113107,01B9D3,113107,True
6462,2.788715200003935,1,104,+,3.9969614000001457,591.2211616317172,,212524.2009383,0072F1,MEDIUM,113211,01BA3B,113211,True
6536,2.9646300000022165,1,74,+,4.172876199998427,420.6581822605198,,212524.3768531,0072F1,MEDIUM,113285,01BA85,113285,True
6603,3.140515500010224,1,67,+,4.348761700006435,380.92963886704536,,212524.5527386,0072F1,MEDIUM,113352,01BAC8,113352,True
6680,3.3164389000157826,1,77,+,4.524685100011993,437.69049482653867,,212524.728662,0072F1,MEDIUM,113429,01BB15,113429,True
