axis,direction,completed_n,aborted_n,mean_signed_settled_error_counts,median_signed_settled_error_counts,min_signed_settled_error_counts,max_signed_settled_error_counts,settled_error_stddev_counts,mean_absolute_error_counts,worst_absolute_error_counts,mean_position_at_stop_error_counts,mean_settled_coast_counts,settled_coast_stddev_counts,mean_motion_time_s,motion_time_stddev_s
az,+,3,1,191.0,202.0,164.0,207.0,23.515952032609693,191.0,207.0,225.66666666666666,34.666666666666664,7.023769168568492,18.91344350000145,0.44270651064558303
az,-,3,1,-233.0,-236.0,-264.0,-199.0,32.60368077380221,233.0,264.0,-253.33333333333334,-20.333333333333332,4.041451884327381,22.373230666659463,0.3662726787579611
alt,+,3,1,124.66666666666667,154.0,60.0,160.0,56.08327142146162,124.66666666666667,160.0,212.33333333333334,87.66666666666667,12.662279942148386,8.007397533336189,0.10142171826066643
alt,-,4,0,-249.75,-255.5,-331.0,-157.0,80.81821164399354,249.75,331.0,-296.25,-46.5,39.13651321549566,5.867183575006493,0.3368852743301631
