cumulative_progress,cycle_elapsed_s,cycle_index,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
5904,3.3166501999949105,4,58,+,37.430971699999645,329.84306290804295,,260388.1141039,0072F1,MEDIUM,214011,0343FB,214011,True
5983,3.4923065999755636,4,79,+,37.6066280999803,449.74165478002004,,260388.2897603,0072F1,MEDIUM,214090,03444A,214090,True
6070,3.668191599979764,4,87,+,37.7825130999845,494.6413849840656,,260388.4656453,0072F1,MEDIUM,214177,0344A1,214177,True
6125,3.844427599979099,4,55,+,37.958749099983834,312.0815270444604,,260388.6418813,0072F1,MEDIUM,214232,0344D8,214232,True
6212,4.020019699994009,4,87,+,38.134341199998744,495.46648165044184,,260388.8174734,0072F1,MEDIUM,214319,03452F,214319,True
6295,4.19593379998696,4,83,+,38.310255299991695,471.8211900201615,,260388.9933875,0072F1,MEDIUM,214402,034582,214402,True
6422,4.37198259998695,4,127,+,38.486304099991685,721.3908870722636,,260389.1694363,0072F1,MEDIUM,214529,034601,214529,True
6580,4.548219099990092,4,158,+,38.66254059999483,896.5225705071473,,260389.3456728,0072F1,MEDIUM,214687,03469F,214687,True
6771,4.724053999991156,4,191,+,38.83837549999589,1086.2462457614745,,260389.5215077,0072F1,MEDIUM,214878,03475E,214878,True
6967,4.899570199981099,4,196,+,39.013891699985834,1116.7060363159121,,260389.6970239,0072F1,MEDIUM,215074,034822,215074,True
7149,5.075825999985682,4,182,+,39.19014749999042,1032.5901331772786,,260389.8732797,0072F1,MEDIUM,215256,0348D8,215256,True
7348,5.25175609998405,4,199,+,39.366077599988785,1131.1310571746737,,260390.0492098,0072F1,MEDIUM,215455,03499F,215455,True
7596,5.427757099998416,4,248,+,39.54207860000315,1409.0829028230312,,260390.2252108,0072F1,MEDIUM,215703,034A97,215703,True
7858,5.60319699998945,4,262,+,39.717518499994185,1493.3889041967666,,260390.4006507,0072F1,MEDIUM,215965,034B9D,215965,True
8083,5.779063599999063,4,225,+,39.8933851000038,1279.3788018174098,,260390.5765173,0072F1,MEDIUM,216190,034C7E,216190,True
