timestamp,elapsed_s,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,note
193799.0565363,0.0,29690,29690,0,,,003978,waiting-for-breakaway,True,start
193799.2071572,0.15062090000719763,29690,29690,0,0.0,,003978,waiting-for-breakaway,True,
193799.3826467,0.3261103999975603,29690,29690,0,0.0,0.0,003978,waiting-for-breakaway,True,
193799.5585588,0.5020225000043865,29690,29690,0,0.0,0.0,003978,waiting-for-breakaway,True,
193799.7344329,0.6778966000129003,29690,29690,0,0.0,0.0,003978,waiting-for-breakaway,True,
193799.910292,0.8537556999945082,29690,29690,0,0.0,0.0,003978,waiting-for-breakaway,True,
193800.0861664,1.0296301000053063,29690,29690,0,0.0,0.0,003978,waiting-for-breakaway,True,
193800.2621589,1.2056226000131574,29690,29690,0,0.0,0.0,003978,waiting-for-breakaway,True,
193800.4379687,1.3814323999977205,29691,29691,1,5.68796506274283,0.8121730594719048,003978,waiting-for-breakaway,True,
193800.6138811,1.557344800006831,29691,29691,0,0.0,1.2994466815368388,003978,waiting-for-breakaway,True,
193800.7897458,1.7332095000019763,29696,29696,5,28.430947200535563,5.522636607810092,003978,moving-transient,True,
193800.9656524,1.9091160999960266,29716,29716,20,113.69670041190301,24.041079327699055,003978,moving-transient,True,
193801.141578,2.085041700018337,29720,29720,4,22.736884225449458,37.36288965896674,003978,moving-transient,True,
193801.3179125,2.261376200011,29735,29735,15,85.0655997585505,53.09842996025382,003978,moving-transient,True,
193801.4937757,2.4372393999947235,29740,29740,5,28.431189700078022,59.41717465415893,003978,moving-transient,True,
193801.6692797,2.612743400008185,29766,29766,26,148.1447716177738,70.95448888414313,003978,moving-transient,True,
193801.8452527,2.7887164000130724,29786,29786,20,113.65379915921481,80.06301314368741,003978,moving-transient,True,
193802.0210875,2.964551200013375,29812,29812,26,147.86606519275634,103.8109027811833,003978,moving-transient,True,
193802.1970299,3.1404936000180896,29836,29836,24,136.40827906949588,120.42080572499253,003978,moving-transient,True,
193802.3732811,3.3167448000167497,29902,29902,66,374.4655355566474,169.9168230055445,003978,moving-transient,True,
193802.5493342,3.4927979000203777,29984,29984,82,465.76856640587505,237.34944429605738,003978,moving-transient,True,
193802.7247082,3.6681719000043813,30079,30079,95,541.6994537882767,332.3776572517964,003978,moving-transient,True,
193802.9009863,3.8444500000041444,30187,30187,108,612.6682781363378,436.1184837474541,003978,moving-transient,True,
193803.0765613,4.020025000005262,30294,30294,107,609.4261711480502,526.285681887221,003978,moving-transient,True,
193803.2524323,4.195896000019275,30393,30393,99,562.9125892962005,567.6251775493698,003978,moving-transient,True,
193803.428362,4.371825700014597,30519,30519,126,716.1951620638827,605.1517222622276,003978,moving-transient,True,
193803.604243,4.547706700017443,30654,30654,135,767.5644327574634,644.9348231917234,003978,moving-transient,True,
193803.780573,4.724036700004945,30797,30797,143,810.9794136569835,691.2815730508751,003978,moving-transient,True,
193803.9560742,4.899537899997085,30903,30903,106,603.984474207281,713.2460938156502,003978,moving-transient,True,
