cumulative_from_start,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
81,81,+,0.4729607999906875,538.2660656618815,,212354.1350472,00E5E3,FAST,72020,011954,72020,True
81,,+,0.6484488999994937,,malformed-outside-modulus,212354.3105353,00E5E3,FAST,4266506,411A0A,72020,False
542,461,+,0.824665099993581,1310.7602039446415,,212354.4867515,00E5E3,FAST,72481,011B21,72481,True
898,356,+,1.0004379999882076,2025.3406526881156,,212354.6625244,00E5E3,FAST,72837,011C85,72837,True
1319,421,+,1.1764289000129793,2392.1691402268066,,212354.8385153,00E5E3,FAST,73258,011E2A,73258,True
1749,430,+,1.3524830999958795,2442.4296611030304,,212355.0145695,00E5E3,FAST,73688,011FD8,73688,True
2187,438,+,1.5282412999949884,2492.0601144198145,,212355.1903277,00E5E3,FAST,74126,01218E,74126,True
2659,472,+,1.7041559999925084,2683.1185796676114,,212355.3662424,00E5E3,FAST,74598,012366,74598,True
3146,487,+,1.8800481999933254,2768.7413085841104,,212355.5421346,00E5E3,FAST,75085,01254D,75085,True
3615,469,+,2.0559066999994684,2666.91686772955,,212355.7179931,00E5E3,FAST,75554,012722,75554,True
4096,481,+,2.231592800002545,2737.837540884432,,212355.8936792,00E5E3,FAST,76035,012903,76035,True
4605,509,+,2.407893800002057,2887.1078439793814,,212356.0699802,00E5E3,FAST,76544,012B00,76544,True
5004,399,+,2.5839098000142258,2266.839378081627,,212356.2459962,0072F1,MEDIUM,76943,012C8F,76943,True
5211,207,+,2.759343399986392,1179.933604696262,,212356.4214298,0072F1,MEDIUM,77150,012D5E,77150,True
5296,85,+,2.935219100007089,483.2958731080942,,212356.5973055,0072F1,MEDIUM,77235,012DB3,77235,True
5316,20,+,3.1114922999986447,113.460242401897,,212356.7735787,0072F1,MEDIUM,77255,012DC7,77255,True
5355,39,+,3.2874737000092864,221.61432968280542,,212356.9495601,0072F1,MEDIUM,77294,012DEE,77294,True
5374,19,+,3.4634506000147667,107.96871634520384,,212357.125537,0072F1,MEDIUM,77313,012E01,77313,True
5397,23,+,3.6391324999858625,130.91843840363796,,212357.3012189,0072F1,MEDIUM,77336,012E18,77336,True
5411,14,+,3.814974400011124,79.61697409996566,,212357.4770608,0072F1,MEDIUM,77350,012E26,77350,True
5462,51,+,3.9906660999986343,290.2812142157287,,212357.6527525,0072F1,MEDIUM,77401,012E59,77401,True
5500,38,+,4.166679399990244,215.89277629481091,,212357.8287658,0072F1,MEDIUM,77439,012E7F,77439,True
5569,69,+,4.342839699995238,391.6887062410981,,212358.0049261,0072F1,MEDIUM,77508,012EC4,77508,True
5628,59,+,4.518851800006814,335.2042274145907,,212358.1809382,0072F1,MEDIUM,77567,012EFF,77567,True
5718,90,+,4.694772199989529,511.595016887427,,212358.3568586,0072F1,MEDIUM,77657,012F59,77657,True
5852,134,+,4.870311800012132,763.3605179842377,,212358.5323982,0072F1,MEDIUM,77791,012FDF,77791,True
5989,137,+,5.046103500004392,779.3314474234679,,212358.7081899,0072F1,MEDIUM,77928,013068,77928,True
6156,167,+,5.222418299992569,947.169494626649,,212358.8845047,0072F1,MEDIUM,78095,01310F,78095,True
6288,132,+,5.397889499989105,752.2601999792865,,212359.0599759,0072F1,MEDIUM,78227,013193,78227,True
6467,179,+,5.5742419000016525,1015.0131213823258,,212359.2363283,0072F1,MEDIUM,78406,013246,78406,True
6668,201,+,5.750041999999667,1143.3440595441677,,212359.4121284,0072F1,MEDIUM,78607,01330F,78607,True
6872,204,+,5.925954300008016,1159.668766711127,,212359.5880407,0072F1,MEDIUM,78811,0133DB,78811,True
7073,201,+,6.101509900006931,1144.9364190105107,,212359.7635963,0072F1,MEDIUM,79012,0134A4,79012,True
7304,231,+,6.277423699997598,1313.1431417674767,,212359.9395101,0072F1,MEDIUM,79243,01358B,79243,True
7539,235,+,6.4533250000094995,1335.976482175517,,212360.1154114,0072F1,MEDIUM,79478,013676,79478,True
7802,263,+,6.629259600013029,1494.8736632517089,,212360.291346,0072F1,MEDIUM,79741,01377D,79741,True
