axis,command_monotonic_s,commanded_progress_from_rest_counts,counts_per_s,degrees_per_s,direction,duration_requested_s,elapsed_measurement_s,end_raw,invalid_samples_total,measure_start_raw,payload_hex,point_index,preflight_alt_raw,preflight_alt_rx_bytes_hex,preflight_az_raw,preflight_az_rx_bytes_hex,reverse_samples_total,run_label,run_status,sample_seconds,settle_seconds,signed_modular_delta_counts,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,starts_from_rest,valid_measurement_samples,warmup_seconds
az,284831.1055261,2461,461.1163251443643,0.15670488937512378,+,8.0,4.909824000031222,1058928,0,1056664,002000,1,1059285,1029D5,1056141,101D8D,0,az-postswap-low-speed-plus-r1,completed,0.18,1.0,2264,commanded-progress-in-both-halves,True,1056467,101ED3,True,26,3.0
az,284841.2285868,4634,944.7108654884861,0.32104873238114634,+,8.0,4.717845599981956,4292,0,1059163,003978,2,1059285,1029D5,1056141,101D8D,0,az-postswap-low-speed-plus-r1,completed,0.18,1.0,4457,commanded-progress-in-both-halves,True,1058986,1028AA,True,25,3.0
az,284851.3522692,7230,1332.7664457402286,0.4529247980478967,+,8.0,4.9258443000144325,11824,0,5259,005000,3,1059285,1029D5,1056141,101D8D,0,az-postswap-low-speed-plus-r1,completed,0.18,1.0,6565,commanded-progress-in-both-halves,True,4594,0011F2,True,26,3.0
az,284861.4759449,11269,1914.8526454730197,0.6507398580706704,+,8.0,4.7178565000067465,23174,0,14140,0072F1,4,1059285,1029D5,1056141,101D8D,0,az-postswap-low-speed-plus-r1,completed,0.18,1.0,9034,commanded-progress-in-both-halves,True,11905,002E81,True,25,3.0
