cumulative_progress,cycle,cycle_elapsed_s,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
8579,2,6.658593500003917,308,+,18.076127899985295,1751.112354330425,,212115.9883684,0072F1,MEDIUM,28702,00701E,28702,True
8579,2,6.834544800018193,262493,+,18.25207919999957,,implausible-jump,212116.1643197,0072F1,MEDIUM,291195,04717B,28702,False
9264,2,7.010428300010972,685,+,18.42796269999235,1946.9364599131898,,212116.3402032,0072F1,MEDIUM,29387,0072CB,29387,True
9642,2,7.186330600001384,378,+,18.60386499998276,2148.9201677329074,,212116.5161055,0072F1,MEDIUM,29765,007445,29765,True
10000,2,7.362567600008333,358,+,18.78010199998971,2031.3555041556713,,212116.6923425,0072F1,MEDIUM,30123,0075AB,30123,True
10363,2,7.538442999997642,363,+,18.95597739997902,2063.9611908320676,,212116.8682179,0072F1,MEDIUM,30486,007716,30486,True
10740,2,7.714030000002822,377,+,19.1315643999842,2147.0837817656093,,212117.0438049,0072F1,MEDIUM,30863,00788F,30863,True
11157,2,7.889927100011846,417,+,19.307461499993224,2370.7042354797572,,212117.219702,0072F1,MEDIUM,31280,007A30,31280,True
11552,2,8.065974400000414,395,+,19.48350879998179,2243.7151835083555,,212117.3957493,0072F1,MEDIUM,31675,007BBB,31675,True
11962,2,8.241763600002741,410,+,19.65929799998412,2332.3389604968415,,212117.5715385,0072F1,MEDIUM,32085,007D55,32085,True
12367,2,8.417856500018388,405,+,19.835390899999766,2299.9223703171115,,212117.7476314,0072F1,MEDIUM,32490,007EEA,32490,True
12762,2,8.593644100008532,395,+,20.01117849998991,2247.0299385289172,,212117.923419,0072F1,MEDIUM,32885,008075,32885,True
