timestamp,elapsed_s,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,note
193877.4124341,0.0,41293,41293,0,,,003978,waiting-for-breakaway,True,start
193877.5627803,0.1503462000109721,41296,41296,3,19.953853386233487,,003978,moving-transient,True,
193877.7385691,0.32613500001025386,41299,41299,3,17.065933665923296,18.360043382093497,003978,moving-transient,True,
193877.9145524,0.5021183000062592,41300,41300,1,5.682357360173942,14.175095026741102,003978,moving-transient,True,
193878.0901349,0.6777008000062779,41300,41300,0,0.0,10.447614431242805,003978,moving-transient,True,
193878.2661999,0.8537658000132069,41300,41300,0,0.0,7.882334284971241,003978,moving-transient,True,
193878.4420891,1.0296549999911804,41300,41300,0,0.0,3.73657400228968,003978,moving-transient,True,
193878.6180111,1.2055770000151824,41302,41302,2,11.36867475203288,2.4368317984249255,003978,moving-transient,True,
193878.7937775,1.3813433999894187,41306,41306,4,22.757478110641838,5.848121421505207,003978,moving-transient,True,
193878.9697023,1.5572682000056375,41327,41327,21,119.36918500441084,25.174670002582765,003978,moving-transient,True,
193879.1456376,1.733203500014497,41330,41330,3,17.051722990490997,38.17579371342766,003978,moving-transient,True,
193879.3218686,1.9094345000048634,41338,41338,8,45.39496456603729,47.907765330636884,003978,moving-transient,True,
193879.4974106,2.0849764999875333,41346,41346,8,45.5731391962595,51.80910336898079,003978,moving-transient,True,
193879.6738171,2.261383000004571,41354,41354,8,45.34980286569569,49.515744699934565,003978,moving-transient,True,
193879.8492056,2.436771500011673,41376,41376,22,125.43581819280695,52.773664376900214,003978,moving-transient,True,
193880.0254783,2.613044199999422,41395,41395,19,107.78753602412934,72.58979210952522,003978,moving-transient,True,
193880.2014293,2.7889952000114135,41433,41433,38,215.96921868821525,104.59279637951796,003978,moving-transient,True,
193880.3771179,2.9646838000044227,41483,41483,50,284.5944472321458,152.80671375723753,003978,moving-transient,True,
193880.5528342,3.1404001000046264,41546,41546,63,358.532475359013,214.29524877888053,003978,moving-transient,True,
193880.728765,3.3163309000083245,41612,41612,66,375.1475011687133,273.3892774648964,003978,moving-transient,True,
193880.9046794,3.4922453000035603,41689,41689,77,437.7128876435663,336.3849149529367,003978,moving-transient,True,
193881.0805753,3.668141200003447,41797,41797,108,613.9995304044581,406.87940174547583,003978,moving-transient,True,
193881.2565134,3.8440793000045232,41909,41909,112,636.5875270865997,480.83031787090295,003978,moving-transient,True,
193881.4327719,4.020337800000561,42015,42015,106,601.38943655133,542.9695367020609,003978,moving-transient,True,
193881.6087002,4.196266100014327,46227,42015,4212,,,003978,invalid,False,rejected-implausible-position-jump
