run_label,payload_index,trial_index,payload_hex,window_index,window_nominal_start_s,window_nominal_end_s,sample_start_s,sample_end_s,start_raw,end_raw,signed_delta_counts,elapsed_s,counts_per_s,commanded_cps,degrees_per_s,valid_samples,invalid_samples,reverse_increments
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,1,0.0,30.0,0.0,29.89204819999577,1051351,1051689,338,29.89204819999577,11.307354977436702,11.307354977436702,0.003842669873615361,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,2,30.0,60.0,30.084038299995882,59.96104539999942,1051689,1052071,382,29.87700710000354,12.785751890120038,12.785751890120038,0.004345085450817134,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,3,60.0,90.0,60.16904919999797,89.85407409999607,1052071,1052407,336,29.685024899998098,11.318838408655724,11.318838408655724,0.003846572380901912,152,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,4,90.0,120.0,90.04549199999747,119.92210889999842,1052409,1052768,359,29.876616900000954,12.016086064951637,12.016086064951637,0.004083523689907742,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,5,120.0,150.0,120.13010199999553,149.81313869999576,1052770,1053144,374,29.68303670000023,12.59978902360745,12.59978902360745,0.004281888186188491,152,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,6,150.0,180.0,150.00513339999452,179.89822199999617,1053149,1053485,336,29.893088600001647,11.240056338640814,11.240056338640814,0.0038197992330144138,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,7,180.0,210.0,180.0901634999973,209.96719759999542,1053488,1053843,355,29.877034099998127,11.882036175740156,11.882036175740156,0.004037968432125325,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,8,210.0,240.0,210.15920129999722,239.85964830000012,1053844,1054201,357,29.700447000002896,12.020021112812383,12.020021112812383,0.004084860969041182,152,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,9,240.0,270.0,240.05122629999823,269.927259899996,1054202,1054551,349,29.876033599997754,11.681604214022112,11.681604214022112,0.003969854017875446,153,0,0
az-postrebuild-sidereal-plus-1e-5min-r2,1,1,00001E,10,270.0,279.9649372999993,270.1352532999954,279.9649372999993,1054554,1054684,130,9.829684000003908,13.225247118823791,13.225247118823791,0.00449444266815997,51,0,0
