commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_progress_counts,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
2831,-9.1544391503292,-0.0031110270795433634,-,1050362,9.322225752298884,0.9646968568661013,0,0072F1,0.5,0,1052923,-2561,279.75498640000296,20,sustain,300.0,000022,1,1,1053193,2561,reliable,az-postservice-sidereal-minus-22-through-26-5min-r1,completed,0.18,8.99312188223896,1.0,commanded-progress-with-comparable-half-rates,True,1053193,101209,12.3,-3.145560849670801,1,True,1,20.0
2796,-8.936882036172493,-0.003037092886265725,-,1047566,9.057576610606933,0.9740469876807138,0,0072F1,0.5,0,1050068,-2502,279.9634134000007,20,sustain,300.0,000023,2,1,1053193,2502,reliable,az-postservice-sidereal-minus-22-through-26-5min-r1,completed,0.18,8.822505213248974,1.0,commanded-progress-with-comparable-half-rates,True,1050362,1006FA,12.3,-3.3631179638275075,1,True,1,20.0
2850,-9.126383602126667,-0.003101492735739639,-,1044716,9.306945691445188,0.9610344715967322,0,0072F1,0.5,0,1047271,-2555,279.9575506999972,20,sustain,300.0,000024,3,1,1053193,2555,reliable,az-postservice-sidereal-minus-22-through-26-5min-r1,completed,0.18,8.944295634757509,1.0,commanded-progress-with-comparable-half-rates,True,1047566,0FFC0E,12.3,-3.1736163978733334,1,True,1,20.0
2791,-9.069088585811732,-0.0030820217070560052,-,1041924,9.392694115717001,0.9294192982152851,0,0072F1,0.5,1,1044463,-2539,279.9619803000023,20,sustain,300.0,000025,4,1,1053193,2539,motion-not-stable,az-postservice-sidereal-minus-22-through-26-5min-r1,completed,0.18,8.729751173380533,1.0,material-reverse-increment-observed,False,1044715,0FF0EB,12.3,-3.2309114141882684,1,False,1,20.0
2844,-9.166073301542546,-0.0031149808072243124,-,1039080,9.472672566299673,0.9269449177717503,0,0072F1,0.5,2,1041646,-2566,279.9453938000006,20,sustain,300.0,000026,5,1,1053193,2566,motion-not-stable,az-postservice-sidereal-minus-22-through-26-5min-r1,completed,0.18,8.780645693047365,1.0,material-reverse-increment-observed,False,1041924,0FE604,12.3,-3.1339266984574543,1,False,1,20.0
